url,clicks,impressions,ctr,position
https://www.net4zero.pl/,15,61,24.6%,6.4
https://net4zero.pl/,7,72,9.7%,5.9
https://net4zero.pl/hubfs/TS.pdf?hsLang=pl-pl,2,17,11.8%,5.6
https://www.net4zero.pl/recyklomat-spoldzielnia-ipz,2,17,11.8%,11.4
https://net4zero.pl/en-us/,1,22,4.5%,6.5
https://www.net4zero.pl/klauzula-rodo,1,17,5.9%,2.7
https://www.net4zero.pl/fraudy-w-systemie-kaucyjnym,1,13,7.7%,8.4
https://www.net4zero.pl/rok-2026-pierwszy-pelny-rok-systemu,1,12,8.3%,2.7
https://net4zero.pl/hubfs/PP.pdf?hsLang=pl-pl,0,21,0%,4.6
https://www.net4zero.pl/11-dobrych-praktyk-antyfraudowych,0,10,0%,20.4
https://net4zero.pl/ru/,0,4,0%,1.8
https://www.net4zero.pl/rok-2026-pierwszy-pelny-rok-systemu.html,0,3,0%,3.3
https://www.net4zero.pl/anatomia-wdrozenia-recyklomatu,0,2,0%,6.0
https://www.net4zero.pl/recyklomat-osiedlowy-vs-sklep,0,2,0%,7.0
https://www.net4zero.pl/cbdok-centralna-baza-danych-opakowan,0,2,0%,10.0
https://net4zero.pl/hubfs/PP.pdf?hsLang=ru,0,1,0%,1.0
